run_id,total_reward,avg_reward,num_safe,num_risky,last_10_avg_reward,agent
187,1658.782795128719,5.529275983762397,285,15,5.096460430836252,explorative
188,1899.2380908844532,6.330793636281511,288,12,9.625178283965663,explorative
189,2480.7000000000003,8.269,0,300,15.970000000000002,explorative
190,1863.448747943181,6.21149582647727,283,17,8.285270914143151,explorative
191,2088.1726853279824,6.960575617759941,5,295,19.39,explorative
192,1881.104051999645,6.270346839998816,277,23,3.8846017452938546,explorative
193,1892.941481636284,6.309804938787613,289,11,6.950745605362606,explorative
194,1806.267556487746,6.020891854959154,288,12,10.235939294112573,explorative
195,2121.302092571248,7.071006975237494,292,8,5.555230638254822,explorative
196,1895.3485993726144,6.317828664575382,296,4,5.467011567156487,explorative
197,1943.098861256043,6.476996204186809,290,10,7.253511281414347,explorative
198,1804.8488273541454,6.016162757847152,254,46,7.397158319274915,explorative
199,2047.2927845990198,6.824309281996733,285,15,5.359468361865915,explorative
0,552.404054165886,1.84134684721962,1,299,-16.025,recent_k5
1,1790.6589709168768,5.9688632363895895,299,1,8.879162525829623,recent_k5
2,2047.3567677850197,6.824522559283399,297,3,6.838179253706613,recent_k5
3,1193.3484546375782,3.977828182125261,1,299,6.519999999999999,recent_k5
4,-72.58331157637363,-0.24194437192124543,5,295,-35.765,recent_k5
5,-213.2021693070596,-0.7106738976901986,2,298,8.440000000000001,recent_k5
6,936.3504201777205,3.1211680672590685,5,295,7.120000000000002,recent_k5
7,2012.8370362501178,6.709456787500392,297,3,7.462580034659962,recent_k5
8,1950.151030931239,6.500503436437463,294,6,4.776372936842187,recent_k5
9,-1507.460009763941,-5.024866699213137,4,296,-10.310000000000002,recent_k5
10,1913.4759095187703,6.378253031729234,298,2,8.859097075257534,recent_k5
11,1811.332393485356,6.037774644951187,298,2,7.858885918414948,recent_k5
12,2095.579728183142,6.985265760610473,300,0,9.943071704479166,recent_k5
13,2038.5589245871954,6.795196415290651,297,3,4.82604612143975,recent_k5
14,2074.1541424529023,6.913847141509675,298,2,8.636927775505036,recent_k5
15,2188.899410824687,7.296331369415624,295,5,6.497755816848068,recent_k5
16,-862.6641793786822,-2.8755472645956073,3,297,-19.190000000000005,recent_k5
17,-464.1749429424949,-1.5472498098083163,3,297,14.86,recent_k5
18,2039.7642090981578,6.799214030327192,296,4,4.792379258782459,recent_k5
19,2072.1991387411676,6.907330462470559,299,1,5.069427631047196,recent_k5
20,1207.5503933026694,4.025167977675564,2,298,-1.1599999999999995,recent_k5
21,2140.497754555806,7.13499251518602,294,6,8.800295905451,recent_k5
22,952.4153460523112,3.1747178201743704,7,293,15.594999999999999,recent_k5
23,1876.3407718187814,6.254469239395938,294,6,5.736426225986326,recent_k5
24,-1381.2685258053002,-4.604228419351001,1,299,2.7550000000000017,recent_k5
25,2088.9063484457474,6.963021161485825,298,2,10.302038479760071,recent_k5
26,2029.107051495576,6.76369017165192,295,5,6.594650339920593,recent_k5
27,1874.0432277989644,6.246810759329882,296,4,6.415619163302393,recent_k5
28,-61.94999999999973,-0.2064999999999991,0,300,-11.645,recent_k5
29,2014.1334854716144,6.7137782849053815,296,4,8.81123755133687,recent_k5
30,2038.350334221974,6.794501114073246,296,4,5.826908682168012,recent_k5
31,2058.992959075439,6.863309863584797,295,5,9.018408742560364,recent_k5
32,189.10504914044293,0.6303501638014765,3,297,-0.604999999999999,recent_k5
33,2133.829501819543,7.1127650060651435,295,5,10.97686969899996,recent_k5
34,-73.40054020135807,-0.24466846733786024,3,297,-19.43,recent_k5
35,2163.9613283476306,7.213204427825435,295,5,6.683092450669891,recent_k5
36,-778.0399617772568,-2.593466539257523,2,298,-1.0249999999999992,recent_k5
37,-1420.9580247704787,-4.736526749234929,3,297,-12.829999999999998,recent_k5
38,1863.0949752763665,6.210316584254556,294,6,6.246097914408834,recent_k5
39,1173.8793826943652,3.912931275647884,2,298,-0.4700000000000003,recent_k5
40,-77.11426462494585,-0.2570475487498195,7,293,0.1750000000000007,recent_k5
41,-571.9025692618003,-1.9063418975393343,3,297,6.055,recent_k5
42,-1520.7355378016305,-5.069118459338768,3,297,1.885000000000001,recent_k5
43,-1367.1127817881973,-4.557042605960658,4,296,-1.279999999999999,recent_k5
44,1940.183209446892,6.467277364822974,295,5,9.001834102879368,recent_k5
45,2135.8294084617796,7.119431361539266,295,5,4.761802984687294,recent_k5
46,2127.3114540737997,7.091038180245999,297,3,6.434219820462424,recent_k5
47,1882.5888157206955,6.275296052402318,296,4,4.968589082659738,recent_k5
48,1000.1439645395427,3.333813215131809,5,295,5.020000000000001,recent_k5
49,2233.217548765582,7.4440584958852725,294,6,7.232358466645815,recent_k5
50,-2043.4178447337144,-6.811392815779048,1,299,-12.23,recent_k5
51,993.3088856903928,3.311029618967976,6,294,11.785,recent_k5
52,2267.4141231996105,7.558047077332035,297,3,8.519174770874843,recent_k5
53,1835.7910379283037,6.119303459761013,298,2,4.415601988866863,recent_k5
54,1955.4263693950802,6.518087897983601,297,3,4.13444902812589,recent_k5
55,-450.2625050807072,-1.5008750169356906,1,299,-38.885,recent_k5
56,1978.6253619974796,6.595417873324932,297,3,4.541234987910598,recent_k5
57,595.6767295854638,1.9855890986182128,4,296,6.1000000000000005,recent_k5
58,1812.1076972298038,6.040358990766013,296,4,9.104692624876012,recent_k5
59,2117.761754842699,7.059205849475663,300,0,5.366645225004348,recent_k5
60,2015.1210686785614,6.717070228928538,298,2,11.111996212078648,recent_k5
61,2188.920789836005,7.296402632786683,297,3,8.413700980720154,recent_k5
62,2121.0039179620994,7.070013059873665,296,4,6.854219851295331,recent_k5
63,2027.803792627934,6.759345975426447,298,2,9.608251542048112,recent_k5
64,-91.9807006325789,-0.30660233544192966,3,297,19.27,recent_k5
65,-1501.7013859613162,-5.00567128653772,1,299,10.960000000000003,recent_k5
66,-298.9361493992142,-0.9964538313307139,2,298,11.41,recent_k5
67,187.877064433246,0.6262568814441534,4,296,9.01,recent_k5
68,1926.6320074513822,6.422106691504607,297,3,4.940812786409301,recent_k5
69,-1362.2999999999997,-4.5409999999999995,0,300,11.455000000000002,recent_k5
70,487.06891088107113,1.6235630362702371,4,296,7.179999999999998,recent_k5
71,360.0000000000002,1.2000000000000008,0,300,4.975,recent_k5
72,1931.6467295336179,6.438822431778727,294,6,7.081309851771406,recent_k5
73,1861.4644313093802,6.204881437697934,298,2,5.262817945105581,recent_k5
74,1748.5009086443995,5.828336362147998,296,4,9.538984458686821,recent_k5
75,-2058.5008162259714,-6.861669387419905,2,298,10.210000000000003,recent_k5
76,1824.8720496765236,6.0829068322550786,297,3,7.17402884617667,recent_k5
77,2021.0425545934895,6.7368085153116315,296,4,13.550263582973452,recent_k5
78,2166.1724851196905,7.2205749503989685,295,5,4.963052510630739,recent_k5
79,1958.4950663312832,6.528316887770944,296,4,7.9713879721163705,recent_k5
80,2261.1361541209176,7.537120513736392,293,7,11.093456418940978,recent_k5
81,2190.436115506773,7.30145371835591,296,4,11.998738369695445,recent_k5
82,2006.3932432061297,6.6879774773537655,299,1,5.253150091305238,recent_k5
83,-304.3578202698414,-1.014526067566138,2,298,-21.395,recent_k5
84,1154.9156941404967,3.8497189804683223,2,298,14.305000000000001,recent_k5
85,-2097.0544170835465,-6.990181390278488,1,299,-15.830000000000002,recent_k5
86,2216.2562410270025,7.3875208034233415,292,8,9.814038414651094,recent_k5
87,1933.6894244876316,6.445631414958772,299,1,4.619952986811561,recent_k5
88,13.328022723868045,0.04442674241289348,5,295,-0.9799999999999998,recent_k5
89,-1184.813803415279,-3.949379344717596,4,296,-21.619999999999997,recent_k5
90,2091.2273875691644,6.9707579585638815,298,2,6.287891262899022,recent_k5
